What stages exist in the purchase order process?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What policies do I need to be aware of for my purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
Can I raise a purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I raise a purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I raise a purchase order to receive goods?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I raise a purchase order to receive services?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What are the different types of purchase orders I can raise?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I raise a blanket purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I raise a milestone payment purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I raise a pre-payment purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I raise a contractor related purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How to I raise a split purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
Do I need to raise a purchase order or can I use my credit card?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I handle pre-payments?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
Who do I need to get approval from for my purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What tax code should I use for my purchase order?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I change my purchase order amount?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I create a new supplier?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
How do I create a new vendor?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What are the university's payment terms?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What are the possible exceptions to payment terms?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
Can an invoice be pre-paid?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What happens when a suppliers terms are different to our standard terms?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
Can I use a shorter payment term?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What information needs to be on an invoice?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What tax should I use on my invoice?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What bank account details do I need to provide?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What policies do I need to be aware of for my invoice?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
When should purchase order information be listed on my invoice?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What happens if my funds transfer is rejected?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
What class code should I use?	If we don't, there are a few hundred cafes and restaurants within a few blocks of campus.\n\nDownload the [Sydney Uni app](http://sydney.edu.au/mobile/) for on-the-go access to campus maps that will guide you to the closest eateries.\n\n#### Camperdown\n\n* Bosch Catering Outlet, Bosch Lecture Theatre, Western Avenue Choose from a great range of home-made Turkish sandwiches.	Editorial
